Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
 Anthozoa,Corals,الشعب المرجانية,All around the world (tropical and subtropical waters),  جميع أنحاء العالم (المياه الاستوائية وشبه الاستوائية),"Corals are important because they protect coasts form strong currents and waves.

0.2 % of the ocean  floor is covered by coral reefs. 

25 % if marine mammals are supported by coral reef systems. 

Conservation Status: 
75 % of the world's reefs are threatened.","الشعاب المرجانية مهمة لأنها تحمي السواحل من التيارات القوية والامواج.

تغطى 2% من مساحة قيعان المحيطات.

يدعم النظام البيئى للشعاب المرجانية 25% من الثدييات البحرية.

حالة المحافظة عليها :
نسبة 75% من الشعاب المرجانية مهددة بالإنقراض. 

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Tripneustes gratilla,Decorator Sea Urchin,قنفذ البحر المزخرف,"Indo-Pacific, Hwaii, and Red Sea",المحيطين الهندي والهادى، هاواي والبحر الأحمر,"Just like many other sea creatures, sea urchins reproduce by releasing eggs and sperm cells in the water. This type of reproduction is called external fertilization.

Sea urchins have globe-like shape of the body that is covered with large number of long spines. Bony plates form shell that provides protection for the soft inner parts.

Certain species of sea urchins (such as flower urchin) have spikes filled with venom.","تماماً مثل العديد من المخلوقات البحرية الأخرى، قنافذ البحر تتكاثر عن طريق إطلاق سراح البيض والخلايا المنوية في الماء. ويسمى هذا النوع من التكاثرالإخصاب الخارجي.

لديها جسم يشبه الكرة الأرضية مغطى بأعداد كبيرة من الأشواك الطويلة وصدفة تحتوى على صفائح عظمية لتوفرالحماية للأجزاء الداخلية الحساسة.

بعض الأنواع من قنافذ البحر (مثل قنفذ الزهرة) لديها أشواك مليئة بالسُم."
,,,,,,
,,,,,,
,,,,,,
Nasso lituratus,Lipstick  unicornfish,أسماك وحيد القرن,"Fiji, Hawaii, Indonesia, Sri Lanka, Vanuatu",فيجي وهاواي وإندونيسيا وسريلانكا، فانواتو,"They have sharp spines at the caudal that can cause serious harm to their prey and predator. 

To differentiate between male and female, males develp a long streamers at the tip of their tails. 

They get their common name “lipstick” tang because their lips looks like they were painted in place."," لديها أشواك حادة في الذيل  يمكنها إلحاق ضرر جسيم لفرائسها ومفترسيها.

للتمييز بين الذكور والإناث , لدى الذكور شرائط ملونة بطرف الذيل.

تعرف أيضا بسمكة (أحمر الشفاة) لأن شفاة السمكة تبدو كالمطلية."
,,,,,,
,,,,,,
,,,,,,
Pomacanthus semicirculatus,Semi-Circle Angelfish,أسماك الملاك ذات أنصاف الدوائر,Indo-Pacific Ocean,المحيط الهندي والمحيط الهادى,"These fish have sharp spines on gill covers are used in defence.

These fish gets their common name from their semicircular banding and markings of vidid blue and bright white on their  bodies. 

Semi-Circle Angelfish loves to nips corals. Their mainly diet is algae and often see them spending their time nipping the corals.","لديها أشواك حادة على أغطية الخياشيم تستخدمها للدفاع.

حصلت على إسمها الشائع من الشرائط النصف دائرية واللون الأزرق النابض بالحياة والأبيض الامع على أجسامها.

هذه الأسماك تحب أن تعض الشعاب المرجانية ولكن غذائها الرئيسى يتكون عادة من الطحالب .

"
