Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Epinephelus lanceolatus,Giant Grouper,أسماك الهامور العملاق,Australia,استراليا,"These fish can be weigh up to 400 kg. 

Their mouth and gills form a powerful sucking system that sucks their prey in form a distance. They also use their mouths to dig into the ocean floor underneath rocks for shelter. 

When they born, their sex is male, after they attain 3 kg  they turn female. Then, when they reached 10-12 kg they return to male.","هذه الأسماك يمكت أن يصل وزنها إلى مايقرب 400 كجم.

أن فمها وخياشيمها تعمل كنظام شفط قوى تساعدها على شفط الفرائس من مسافات بعيدة وهى تستخدم فمها أيضا للحفر فى قاع المحيط بحثاً عن مأوى. 

هذه الأسماك تولد ذكور وعندما يصل وزنها 3 كجم تتحول لإناث وعنما يصل وزنها 10- 12 كجم تتحول مرة أخرى لذكور."
,,,,,,
,,,,,,
,,,,,,
Gnathanodon speciosus,Golden Trevally,أسماك البياض الذهبى,"Indo-Pacific Oceans, South America, and Central America",المحيط الهندي والهادى وأمريكا الجنوبية وأمريكا الوسطى,"These fish have stricking beautiful bright yellow colouration  with a narrow black bar through the eye. 

They always associate with the giant grouper to eat the left over food. 

These fish swims in shoal to protect themselves from predator.","هذه الأسماك لديها لون أصفر جميل براق آخاذ مع شرائط سوداء رفيعة.

دائما ماترتبط بأسماك الهامور العملاق لأكل بقايا الطعام.

هذه الأسماك تسبح في المياه الضحلة للحماية من الحيوانات المفترسة."
,,,,,,
,,,,,,
,,,,,,
Balistoides conspicillum,Clown Triggerfish,سمكة المهرج ذات الزٍناد,Indian Ocean and Pacific Ocean,المحيط الهندي والهادى,"This fish lock himself in the hole, and extend the spine on its belly and head into the coral. 

They can rotate their eyeballs independently 

They are bottom dwellers, they dig out in the ocean floor to search for food.","هذا النوع يحبس نفسه فى الكهوف ويوجه شوكته البطنية والرأسية نحو الشعاب المرجانية للحماية.

يمكنه تحريك مُقلة عينيه كل واحدة على حدة.

هذا النوع من سكان القيعان ويمكنه الحفر فى قاع المحيط بحثاًعن الطعام.
"
,,,,,,
,,,,,,
,,,,,,
  Rhinobatidae,Shovel Nose Ray,أسماك الراى ذات أنف الجاروف,Subtropical and Temperate waters,المياه شبه المدارية والمعتدلة,"Their back are covered  with a small light spots to help them in camouflage. 

This type of fish is closely related to shark and ray. 

Their mouth and nose are located at the bottom of their head.  They have strong plates  that line their powerful jaws.","تغطى ظهورها بقع فاتحة لتساعدهم على التمويه.

هذا النوع من الأسماك يعتبر من أقرباء أسماك القرش و هى تنتمى لعائلة أسماك الشِفنين.

وتقع أفواهها وأنوفها أسفل الرأس. لديها صفائح عظمية قوية تبطن فكها القوى."
,,,,,,
,,,,,,
,,,,,,
Rhinobatidae,Humphead Wrasse,أسماك نابليون ذات الرأس الأحدب,Indo-Pacific Oceans,المحيط الهندي والهادى,"These fish have a big hump on their head, hence they get their common name. 

These fish also called Napoleon fish 

They are born females but when they turn at 9 yrs they change sex into male until they dies.","حصلت هذه الأسماك على إسمها الشائع نظراً لوجود حدّب  كبيرعلى رأسها

تسمى أيضاً بسمكة نابليون

عندما تصل لسن البلوغ تستطيع هذه الأسماك أن تغير جنسها فيمكن للإناث فقط أن تتحول لذكور.  "
,,,,,,
,,,,,,
,,,,,,
Myliobatidae,Cownose Ray, أسماك الشِفنين ( الراى) ذات أنف البقرة,"Atlantic Ocean along western Africa,  Mexico and parts of the Caribbean",المحيط الأطلسي على طول غرب أفريقيا والمكسيك وأجزاء من منطقة البحر الكاريبي,"They get their name from their unique forehead, which resembles the nose of a cow

They migrate in large groups and migrate in a long distances. 

They have been seen jumping clear out of the water and landing on their bellies, making loud smacking sounds. It’s a technique behaviour for the stingray to get rid with the parasites.","هذا النوع حصل على إسمه الشائع من شكل جبهته العجيبة التى تشبه أنف البقرة.

هذا النوع يهاجر لمسافات طويلة فى مجموعات كبيرة.

شوهد هذا النوع وهو يقفز من المياه ويهبط بقوة على بطنه مما يحدث صوت عاليا . هذا السلوك يساعد أسماك الشِفنين الآسعة على التخلص من الطفيليات.
"
