Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Zanclus cornutus,Moorish Idol,أسماك البربر الأفارقة,"Indo-Pacific, tropical and sub-tropical reefs.",المحيطين الهندي والهادى والشعاب الاستوائية وشبه الاستوائية,"This fish have yellow and black bands with white contrasts that run vertically up the body.

These fish get their common name from the African Moors. 

They are commonly known in Hawaii as ""Kihikihi"" which means ""curves,"" ""corners,"" or ""zigzags,"" and also referes for their shape and colour pattern.","هذا النوع لديه خطوط سوداء وصفراء وبيضاء متناغمة بطريقة عمودية على الجسم.

حصلت على إسمها الشائع  من البربر الأفارقة

تعرف عادة فى هاواى بأسم (كيهى كيهى) بمعنى (المقوس) ,(الزاوية) أو ( المتعرج) هذه الأسماء تشير شكلها وألوانها.
"
,,,,,,
,,,,,,
,,,,,,
Ostracioncubicus,Yellow Box fish,أسماك الصنوق الصفراء,"Pacific, Indian and South East Atlantic Ocean",المحيط الهادي والهندي وجنوب شرق المحيط الأطلسي,"Yellow Box Fish secrete a type of mucus, or slime, from their skin. This slime provides protection against parasites and infections and helps the Yellow Box Fish to move through the water faster

They get their common from their shaped like a box or a cube

They can release a toxin called Ostracitoxin to ward off predators","أسماك الصندوق الصفراء  تفرز نوع من المخاط، أو الوحل، من جلودها. هذا الوحل يوفر الحماية ضد الطفيليات والالتهابات ويساعدها على  السباحة بشكل أسرع.

حصلت على إسمها الشائع من شكل جسمها الذى يشبه الصندوق أو المكعب.

يمكنها إطلاق نوع من السموم لإبعاد المفترسات."
,,,,,,
,,,,,,
,,,,,,
Paramocnthus pusillus,Fainstrip Filefish,سمكة المبرد (القوباء),"Atlantic, Pacific and Indian Oceans",المحيط الهادي والهندي والمحيط الأطلسي,"They have small-mouth and two dorsal-fin spines, the first of which is large and erectile and can be locked upright by the smaller second spine.

These fish have a thin, oval shaped body with an elongated dorsal fin and a horn coming out of the top of their head

They are also known as leatherjackets filefish or shingles filefish.","لديها فم صغير وشوكتين على الزعنفة الظهرية , الأولى  كهربائية كبيرة الحجم ويمكنها أن تغلق بطريقة مستقيمة مع الشوكة الصغيرة.

لديها جسم نحيف بيضاوى وزعنفة ظهرية ممدوة ويخرج من قمة رأسها قرن.

تعرف هذه الأسماك أيضاً بسمكة المبرد ذات السترة الجلدية أو سمكة المبرد القوباء."
,,,,,,
,,,,,,
,,,,,,
Lysmata ambionensis,Skunk Shrimp,الروبيان ذو الشرائط البيضاء,Indo-Pacific,المحيطين الهندي والهادى,"They are omnivorous shrimp which means they eat both plants and animals. They usually feed on parasites and dead tissue.

They are hermaphrodites. They are born male and grow later on to  female. 

They set up a 'cleaning station', for some fish who need cleaning.   They crawls on the body of the fish and cleans it off debris and parasites.","هذا النوع من الروبيان يأكل كل من النباتات والحيوانات. وعادة ما تتغذى على الطفيليات والأنسجة الميتة.

هذا النوع ثنائى الجنس . يولدون ذكوراً ويتحولون بعد ذلك إلى إناث.

هذ النوع من الروبيان يقوم بدور (محطة التنظيف) حيث يزحف على أجسام الأسماك وينظفها من الطمى والطفيليات."
,,,,,,
,,,,,,
,,,,,,
Hippocampus histrix,Spiny Seahorse,حصان البحر ذو الأشواك,Indo-Pacific,المحيطين الهندي والهادى,"They have eyes which able to work independently on either side of their head. They can look forwards and backwards at the same time.  

Seahorses have long thin snouts which use to suck their food  just like a vacuum cleaner. Their snouts can expand if their prey os larger than the snout

They are monogamous, meaning they have only one mating partner for their entire life.","أن لديها عينان تعمل كل واحدة بطريقة مستقلة على جانبى الرأس .يمكنها النظر للأمام والخلف فى نفس الوقت.

أحصنة البحر لديها خرطوم طيل رفيع لإمتصاص الطعام مثل المكنسة الكهربائية .  يمكن أن تتوسع هذه الخراطيم إذا كان حجم الفريسة كبير عنها. 

أنها أحادية الزوج بمعنى انها تظل طول العمر مع شريك واحد."
,,,,,,
,,,,,,
,,,,,,
Taeniconger hassi,Garden Eel,إنقليس الحدائق,Indo-Pacific,المحيطين الهندي والهادى,"These eels are quite shy and will vanish into their sandy burrows when approched. 

These eels live in sandy burrows near coral reefs. When they are feeding, hundreds or even thousands, of Garden Eels extend up to  two-thirds of their body out of their burrows. 

When Garden Eels are extended from their burrows, they will all move their bodies and mouths  to face the moving current at the same time. This is in order to capture floating zooplankton from the passing current to feed on.","أسماك الإنقليس هذه خجولة جداً لدرجة أنها تختفى فى جحورها الرملية عن الإقتراب منها

تعيش أسماك الإنقليس هذه فى جحور رملية بجوار الشعاب المرجانية وعندما تبحث عن الطعام ,تخرج المئات بل الآلاف منها  ثلثى جسمها  فقط من الجحور

توجه جسمها وفمها جميعاً فى مواجهة حركة التيار وذلك لإلتقاط العوالق البحرية من التيار المار."
,,,,,,
,,,,,,
,,,,,,
Hippocampus kuda,Kuda Seahorse,حصان البحر (كودا),Indo-Pacific,المحيطين الهندي والهادى,"They have a prehensile tail which allows them to grip onto sea grass and other weeds and prevents them from being washed away by strong currents and wave

The male is the one who gets pregnant. The female deposits her eggs inside the male's pouch then fertilize it.  After fertilizes them for 14 weeks,  he will then release the fry.","لديها ذيل قابض مما يسمح لهم بالتشبث بالأعشاب البحرية والحشائش الأخرى ويحول دن أن تجرفها التيارات القوية والأمواج.

الذكر هو الذى يحمل .تضع الأنثى البيض فى جراب الذكر للتخصيب, بعد تخصيب البيض لمدة 14 يوماً يقوم الذكر بأطلاق سراح الصغار.
"
,,,,,,
,,,,,,
Aeoliscus strigatus,Razor Fish,أسماك الشفرة,"Indo-West Pacific, Australia to South Wales",بين المحيط الهندى وغرب المحيط الهادى واستراليا إلى جنوب ويلز,"These fish swim vertically, in sychronised groups, with their long snouts pointing down.

They are closely-related to seahorse.","هذه الأسماك تسبح بطريقة عمودية فى مجموعات متوافقة وخطومها الطويلة تشير لإسفل.

هذه الأسماك شديدة القرابة لحصان البحر.

"
,,,,,,
,,,,,,
,,,,,,
Tripneustes gratilla,Decorator Sea Urchin,قنفذ البحر المزخرف,"Indo-Pacific, Hwaii, and Red Sea",المحيطين الهندي والهادى، هاواي والبحر الأحمر,"Just like many other sea creatures, sea urchins reproduce by releasing eggs and sperm cells in the water. This type of reproduction is called external fertilization.

Sea urchins have globe-like shape of the body that is covered with large number of long spines. Bony plates form shell that provides protection for the soft inner parts.

Certain species of sea urchins (such as flower urchin) have spikes filled with venom.","تماما مثل العديد من المخلوقات البحرية الأخرى، قنافذ البحر تتكاثر عن طريق إطلاق سراح البيض والخلايا المنوية في الماء. ويسمى هذا النوع من التكاثر التخصيب الخارجي.

تتشابه أجسام قناديل البحر فى العالم بوجود عدد كبير من الأشواك وصفائح عظمية تكون الصدفة التي توفر حماية للأجزاء الداخلية الحساسة.

بعض الأنواع من قنافذ البحر (مثل قنفذ الزهرة) لديها أشواك مليئة بالسم."
,,,,,,
,,,,,,
,,,,,,
Aurelia aurita,Moon Jelly,هُلام البحر القمرى(قنديل البحر),"Off coast of Britain and Ireland, and can occasionally be found in harbors and estuaries.",قبالة سواحل بريطانيا وأيرلندا، وفي بعض الأحيان قرب الموانئ ومصبات الأنهار.,"These jellies get their common name from their round shape body like moon. 

They depend on the current of the water to move to their next location. 

They use their tentacles to sting their predator or prey.","حصلت هذه الهُلاميات على إسمها الشائع بسبب شكل جسمها الدائرى الذى يشبه القمر. 

تعتمد على حركة تيار الماء لتنقلها من مكان لآخر.

تستخدم مجساتها للسع المفترسين أو الفرائس."
,,,,,,
,,,,,,
,,,,,,
Cassiopea xamachana,Upside Down Sea Jellies,هُلام البحر المقلوب رأساً على عقب,"Caribbean, Gulf of Mexico, and tropical water","منطقة الكاريبى, خليج المكسيك و المياه الإستوائية","The bell if this sea jelly  can reach up to 30 centimetres  in diametre  and provide a unique symbiotic habitat for algae. 

By laying upside down, the sea jelly exposes its algae to the sun, allowing it to photosynthesize. 

Crabs are known to carry Upside-Down jellies on their back as a form of protection, relying on the tentacles to warn off predators. 

A group of jellies is called a bloom.","يمكن أن يصل قطر جسم (الجرس)هُلاميات البحر هذه إلى 30 سم وهى توفر البيئة التكافلية الفريدة من نوعها للطحالب

يسمح بقائها رأساً على عقب للطحالب بالتعرض لضوء الشمس والقيام بعملية البناء الضوئى. 

و من المعروف ان السرطان يقوم بحمل قناديل البحررأسا على عقب على ظهورهم كشكل من أشكال الحماية و الاعتماد على مجسانها للتحذير من المفترس. 

المجموعة من هثلام البحر تسمى البرعم.

"
